date,btc_open,btc_high,btc_low,btc_close,btc_volume,dvol_open,dvol_high,dvol_low,dvol_close,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,btc_log_return,spx_log_return,btc_rv_7d,spx_rv_7d,btc_rv_14d,spx_rv_14d,btc_rv_30d,spx_rv_30d
2023-12-26,43576.12,43592.68,41637.6,42508.93,41010.04282,58.26,60.13,57.62,59.98,4758.85986328125,4784.72021484375,4758.4501953125,4774.75,2513910000,13.770000457763672,13.800000190734863,12.960000038146973,12.989999771118164,-0.0337715783805641,0.004222761046978559,0.36738085498653716,0.12629534876856244,0.429587820849111,0.10605330904402553,0.5219281901905953,0.09504029745727569
2023-12-27,42508.93,43677.0,42098.69,43428.85,36191.21136,59.98,64.6,59.69,64.35,4773.4501953125,4785.39013671875,4768.89990234375,4781.580078125,2748450000,13.020000457763672,13.039999961853027,12.369999885559082,12.43000030517578,0.02140979529821103,0.0014294356164229985,0.34718796732465096,0.1257473062354502,0.4406685184217157,0.10145338741292816,0.5176788670337378,0.09455215091750058
2023-12-28,43428.86,43787.57,42241.79,42563.76,35150.52485,64.35,64.94,62.5,63.75,4786.43994140625,4793.2998046875,4780.97998046875,4783.35009765625,2698860000,12.4399995803833,12.649999618530272,12.380000114440918,12.470000267028809,-0.02012077980823538,0.0003701061103271183,0.36431711111516213,0.12454434123989644,0.44641491980003695,0.10019175250347602,0.5151724527306797,0.08126365640763723
2023-12-29,42563.76,43111.0,41300.0,42066.95,42597.18912,63.75,64.26,61.38,62.5,4782.8798828125,4788.43017578125,4751.990234375,4769.830078125,3126060000,12.550000190734863,13.1899995803833,12.359999656677246,12.449999809265137,-0.011740790238734814,-0.0028304770367338357,0.36742784850203253,0.1220438788554857,0.4368791313352536,0.10301674200061292,0.48828094506400527,0.08249015708984841
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,66.81,68.04,63.73,63.75,4745.2001953125,4754.330078125,4722.669921875,4742.830078125,3743050000,13.220000267028809,14.229999542236328,13.100000381469728,13.199999809265137,0.06621961874983721,-0.005676660799723162,0.519800232469714,0.08077636414693294,0.4224499909204304,0.10839840609155518,0.49781747279370514,0.08536851321734368
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,63.75,67.12,62.13,65.17,4725.06982421875,4729.2900390625,4699.7099609375,4704.81005859375,3950760000,13.350000381469728,14.220000267028809,13.329999923706056,14.039999961853027,-0.04788769521256018,-0.008048618327197648,0.6061231828629386,0.06995835312674088,0.4806516983297555,0.11522340131877673,0.5224531779205862,0.08991883700458497
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,65.17,66.59,63.74,65.34,4697.419921875,4726.77978515625,4687.52978515625,4688.68017578125,3715480000,13.93000030517578,14.199999809265137,13.640000343322754,14.130000114440918,0.03002352150755492,-0.003434271663317429,0.6388982500175562,0.06764585948888552,0.4775680501439879,0.10078201618849997,0.5250487954759684,0.08911759144566003
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,65.34,68.25,65.27,67.64,4690.56982421875,4721.490234375,4682.10986328125,4697.240234375,3844370000,14.239999771118164,14.579999923706056,13.289999961853027,13.350000381469728,-0.0001356796630157846,0.0018240216394339805,0.5931558363448014,0.05941535039619721,0.47760659932570404,0.10038036049811679,0.5016927310565215,0.08867250075981724
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,71.81,73.59,67.15,67.16,4703.7001953125,4764.5400390625,4699.81982421875,4763.5400390625,3742320000,14.0,14.18000030517578,13.020000457763672,13.079999923706056,0.06162319449477854,0.014015945436353141,0.6812821868076062,0.11496332878869901,0.5219455863507806,0.11744822702326399,0.5143983236281578,0.09591434360834798
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,67.16,67.48,63.68,64.17,4741.93017578125,4765.47021484375,4730.35009765625,4756.5,3529960000,13.199999809265137,13.449999809265137,12.739999771118164,12.760000228881836,-0.018075510415030107,-0.0014789938523175842,0.6774402500309169,0.11488383887292912,0.5314447730145686,0.11638869445235323,0.5197315666977078,0.09626852513865344
